"";"Omrade";"Kön";"Ålder";"Sysselsättning";"Utbildningsnivå";"År";"Alt.1a";"Alt.1b";"Alt.1c";"Alt.1d";"Alt.1e";"Alt.2a";"Alt.2b";"Alt.2c";"Alt.2d";"Alt.2e";"Alt.3a";"Alt.3b";"Alt.3c";"Alt.3d";"Alt.3e";"Alt.4a";"Alt.4b";"Alt.4c";"Alt.4d";"Alt.4e";"Alt.5a";"Alt.5b";"Alt.5c";"Alt.5d";"Alt.5e";"Alt.6a";"Alt.6b";"Alt.6c";"Alt.6d";"Alt.6e";"Alt.7a";"Alt.7b";"Alt.7c";"Alt.7d";"Alt.7e";"Alt.8a";"Alt.8b";"Alt.8c";"Alt.8d";"Alt.8e";"Alt.9a";"Alt.9b";"Alt.9c";"Alt.9d";"Alt.9e";"Alt.10a";"Alt.10b";"Alt.10c";"Alt.10d";"Alt.10e";"Parker...grönområden";"Mångfald.i.bostadsutbudet";"Levandegöra.gemensamma.platser";"Kommunikationer";"Kultur...fritid";"Utbildning";"Omsorg";"Skolan";"Trygghet";"Ekologisk.hållbarhet";"Motsättning.1";"Motsättning.2";"Motsättning.3"
"11";"Folkparksområdet";"Man";"35-44";"Egen företagare";"Annan eftergymnasial utbildning";"10 år eller mer";12;10;8;11;7;8;8;13;0;14;8;9;10;9;11;8;8;8;8;8;7;7;7;7;7;11;5;8;8;7;9;9;13;9;3;4;11;11;4;11;12;12;4;10;6;7;7;7;7;7;9;8;6;7;6;7;10;8;11;6;6;8;8
"12";"Södra Bollstanäs";"Kvinna";"65+";"Pensionär";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";5;6;13;8;5;8;5;5;6;13;7;7;7;7;7;8;6;8;8;10;8;8;8;5;7;9;9;9;9;9;9;9;9;8;14;3;10;8;14;9;10;10;14;6;6;8;9;6;8;8;4;5;2;4;2;2;3;4;4;2;2;8;9
"13";"Frestaby";"Man";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";6;6;9;10;6;9;8;8;6;10;7;7;8;9;9;8;10;8;10;10;7;4;5;7;6;8;6;9;10;10;9;9;10;9;14;15;9;9;15;9;10;9;15;9;6;7;9;7;7;7;1;2;2;3;3;5;5;5;5;2;5;8;5
"14";"Stallgatan";"Kvinna";"55-64";"Pensionär";"Högskola/universitet";"10 år eller mer";10;6;4;8;7;6;6;6;8;6;9;7;7;7;7;6;6;6;6;9;8;6;8;5;8;8;7;8;8;8;9;8;8;8;13;14;8;8;12;7;9;8;14;6;6;9;8;8;9;7;5;2;1;6;3;7;4;4;4;2;11;10;7
"15";"Messingen/Optimus";"Man";"25-34";"Förvärvsarbetande (anställd)";"Högskola/universitet";"0-4 år";9;9;1;12;4;5;9;3;0;10;6;5;9;5;11;5;13;4;6;14;10;6;3;8;5;11;5;8;14;14;8;8;8;6;9;11;14;10;12;0;8;8;15;8;8;9;6;6;8;8;7;2;3;2;2;11;2;10;3;1;6;6;2
"16";"Prästgårdsmarken";"Kvinna";"65+";"Egen företagare";"Högskola/universitet";"10 år eller mer";14;9;9;9;11;13;10;11;9;9;11;12;10;13;14;6;12;10;12;7;12;11;12;11;12;12;12;12;12;12;10;13;13;13;5;7;14;14;7;14;7;7;13;7;7;7;7;7;7;7;4;4;3;4;3;4;4;4;4;3;9;10;9
"17";"Runby Backar/Lövsta";"Man";"45-54";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";10;6;5;8;9;9;9;8;6;3;8;9;6;7;10;8;9;6;9;9;9;10;8;6;7;8;8;9;14;14;7;8;8;9;12;14;9;10;3;10;10;11;15;6;7;8;8;8;9;10;3;2;3;4;3;7;7;10;9;6;4;10;7
"18";"Frestaby";"Man";"45-54";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;8;8
"19";"Ekebo";"Man";"45-54";"Har sjuk- eller aktivitetsersättning";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;6;7;14;14;7;14;14;14;6;14;14;14;14;14;14;14;14;13;12;11;10;9;8;7;6;5;8;2;8
"20";"Frestaby";"Man";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";11;9;6;10;9;9;9;9;8;5;4;9;5;4;10;7;10;8;9;7;9;8;9;9;6;10;9;8;11;9;8;9;9;8;3;4;9;12;15;9;10;8;14;6;9;10;5;8;7;9;7;6;5;9;6;11;10;12;8;8;12;11;6
"21";"Frestaby";"Man";"55-64";"Pensionär";"Högskola/universitet";"10 år eller mer";9;6;8;8;9;8;9;7;9;7;9;6;9;9;9;10;10;8;8;8;9;8;10;11;13;8;9;10;14;14;14;14;14;14;6;7;13;13;6;13;14;13;6;7;10;14;14;14;13;14;10;10;9;9;10;14;14;14;14;14;11;8;8
"22";"Odenslunda";"Man";"65+";"Egen företagare";"Högskola/universitet";"10 år eller mer";6;7;8;9;10;11;10;9;3;7;5;8;9;9;11;11;9;9;9;9;8;8;8;7;7;9;10;11;14;13;9;9;11;11;2;14;11;12;3;14;9;13;3;7;7;8;8;8;8;8;1;3;4;5;2;14;10;14;9;6;8;7;6
"23";"Odenslunda";"Man";"55-64";"Långtidssjukskriven (mer än 3 månader)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";8;5;9;7;6;6;10;5;5;5;6;9;6;10;10;9;6;9;10;6;7;7;7;7;7;9;8;8;10;7;8;8;10;10;12;13;7;7;13;7;9;9;14;8;4;9;9;8;10;11;1;3;4;5;3;6;6;6;6;3;11;11;10
"24";"Frestaby";"Man";"65+";"Pensionär";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";7;9;11;7;7;5;5;10;5;10;7;7;7;7;7;6;6;8;10;10;6;11;8;8;7;8;5;11;11;12;6;11;11;11;3;4;11;11;15;11;6;6;2;7;7;11;11;8;11;11;5;11;5;11;5;11;11;11;11;8;6;6;11
"25";"Odenslunda";"Man";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";13;9;0;9;14;10;10;10;8;1;8;9;8;9;8;10;12;6;11;7;12;6;8;8;9;9;10;11;11;11;9;9;9;10;3;15;10;11;3;7;9;10;12;6;7;13;12;12;12;9;2;3;2;4;5;6;5;5;6;7;11;10;9
"26";"Södra Bollstanäs";"Vill ej uppge";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";7;4;13;10;6;10;10;12;1;13;8;6;9;12;13;10;5;2;11;6;6;5;6;6;4;8;9;8;14;14;12;7;14;7;14;15;14;10;13;4;9;10;14;5;7;6;9;3;3;10;1;4;0;5;1;7;9;11;8;0;5;3;3
"27";"Dragonvägen";"Kvinna";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";10;10;4;11;11;8;8;5;5;8;3;4;5;6;8;11;11;8;9;8;14;6;12;9;10;11;6;11;13;13;14;13;13;14;6;6;14;14;7;14;14;14;6;14;10;14;14;14;14;14;3;4;5;9;6;11;11;11;11;7;9;6;7
"28";"Smedby 2";"Kvinna";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";13;8;12;9;9;11;10;10;11;7;9;9;9;9;11;4;4;4;11;5;11;5;10;6;9;11;11;11;11;11;6;11;8;9;3;3;10;10;3;10;11;9;15;10;7;10;9;9;11;11;11;10;10;10;12;12;9;11;9;9;4;4;12
"29";"Runby Backar/Lövsta";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";14;14;2;13;8;10;8;8;1;0;6;6;8;8;12;4;14;8;8;8;11;10;10;10;9;9;8;8;10;10;9;10;13;14;6;7;14;14;14;8;14;9;2;8;8;14;14;14;14;14;14;7;8;9;12;7;13;12;12;14;4;10;3
"30";"Sjukyrkoberget";"Kvinna";"65+";"Pensionär";"Annan eftergymnasial utbildning";"10 år eller mer";8;8;8;9;10;11;8;9;5;9;3;10;6;7;10;5;9;9;9;10;13;13;12;12;13;11;5;11;11;11;12;10;12;11;13;4;11;10;14;10;11;10;14;9;10;10;10;11;10;7;10;7;12;9;9;7;12;11;11;9;11;8;11
"31";"Stora Wäsby gård";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";11;1;13;12;12;14;12;3;11;2;0;1;14;12;14;2;2;14;2;12;2;2;2;2;1;1;12;12;12;13;0;1;14;12;6;7;12;2;8;2;13;13;13;13;2;8;13;7;12;6;1;7;1;14;2;14;14;7;14;0;4;4;4
"32";"Hasselgatan";"Man";"35-44";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";1;8;14;9;0;14;13;8;0;12;2;7;0;1;14;10;9;8;7;14;10;9;11;8;0;9;8;6;14;11;5;4;8;3;11;12;14;11;1;5;12;8;2;0;11;0;1;8;2;6;1;6;2;4;3;11;7;10;9;0;2;2;8
"33";"Vilunda/Korpkulla";"Man";"55-64";"Egen företagare";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";9;7;5;7;7;9;8;6;6;5;8;8;8;8;10;6;6;5;7;7;5;5;4;6;9;7;7;6;10;9;6;9;6;9;3;3;10;8;14;8;9;8;15;4;5;9;8;8;8;8;2;6;2;2;3;9;9;9;2;2;4;4;8
"34";"Carlslund/Brunnby Park";"Man";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";4;6;10;6;7;11;11;4;6;6;9;6;9;8;7;10;9;6;8;7;3;6;5;5;3;10;3;4;10;9;6;5;11;4;10;14;10;6;15;11;6;9;2;6;3;6;6;6;6;9;3;3;1;2;2;3;9;1;10;1;10;6;5
"35";"Carlslund/Brunnby Park";"Kvinna";"55-64";"Har sjuk- eller aktivitetsersättning";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";10;8;8;8;10;9;8;5;7;7;5;9;6;6;8;8;9;8;9;8;8;11;8;11;9;9;8;11;11;11;8;11;11;9;3;4;11;11;4;11;11;11;3;8;7;11;11;11;11;11;1;1;1;7;2;5;7;7;7;7;6;10;8
"36";"Södra Bollstanäs";"Man";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";12;11;7;10;9;12;13;11;7;7;12;9;8;13;14;12;13;13;13;13;14;14;13;13;14;13;12;13;14;14;14;14;14;14;6;7;13;13;5;13;13;11;2;8;9;13;12;13;13;14;12;13;12;13;14;14;14;14;13;13;12;8;8
"37";"Södra Bollstanäs";"Man";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";5;5;9;8;4;10;8;8;0;12;4;8;6;10;3;10;8;7;7;7;10;2;11;2;5;9;9;5;12;7;1;9;7;10;9;9;13;11;13;7;8;10;10;3;3;7;4;10;6;11;4;2;1;12;3;13;10;13;5;8;5;6;5
"38";"Sjukyrkoberget";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"5-9 år";9;5;8;10;7;9;10;7;4;8;10;7;8;6;10;10;9;7;9;8;8;6;8;7;6;9;6;11;11;10;8;8;7;10;2;14;9;9;14;7;10;9;13;7;7;8;11;8;8;8;5;3;4;12;2;8;9;10;11;5;9;9;7
"39";"Runby";"Man";"45-54";"Egen företagare";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";8;6;9;8;7;7;9;10;0;14;6;5;6;9;11;8;9;6;10;9;14;9;14;7;7;10;6;14;14;14;8;14;11;14;12;13;14;9;3;8;14;14;15;2;7;8;9;10;6;7;2;3;4;6;7;12;8;13;11;1;2;3;7
"40";"Frestaby";"Kvinna";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";11;5;8;11;4;4;4;8;5;4;8;8;8;6;8;8;6;8;6;8;6;6;6;6;6;9;6;9;7;7;9;9;8;8;13;13;7;7;13;7;8;8;14;8;6;9;8;10;8;10;1;2;1;1;1;1;2;2;2;2;10;8;8
"41";"Sjukyrkoberget";"Kvinna";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";14;14;14;14;14;14;9;10;13;0;11;0;10;10;14;14;13;6;9;14;8;6;11;14;7;14;8;13;14;14;10;14;14;8;6;5;14;12;12;10;14;13;2;14;5;11;13;8;10;7;14;8;10;11;5;12;14;14;14;1;4;4;10
"42";"Frestaby";"Man";"55-64";"Egen företagare";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";6;9;10;11;7;10;10;6;3;8;8;6;10;10;9;11;10;4;9;10;10;6;5;11;10;9;10;11;13;13;8;10;8;9;5;4;13;12;6;14;10;12;14;11;6;9;6;13;5;10;3;6;3;6;6;12;6;12;9;6;7;6;10
"43";"Vilunda/Korpkulla";"Kvinna";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";9;11;4;9;8;8;11;8;8;6;8;8;9;9;7;10;7;7;7;7;8;7;7;7;7;7;7;8;8;9;10;7;7;7;12;14;9;9;15;7;11;11;13;7;7;7;7;7;10;10;3;3;3;4;5;9;9;9;10;3;9;7;7
"44";"Hasselbacken";"Man";"65+";"Egen företagare";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";7;9;11;11;9;11;11;6;4;11;9;9;9;9;9;6;6;6;6;11;14;5;12;12;14;14;14;14;14;14;14;9;14;11;6;7;14;14;7;14;14;14;3;8;0;8;11;13;13;13;1;1;1;1;2;14;14;14;7;7;2;5;2
"45";"Frestaby";"Man";"45-54";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;8;8
"46";"Njursta";"Man";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";10;10;4;10;7;8;6;6;9;5;5;8;7;8;8;8;9;7;9;8;8;6;9;7;7;9;8;10;9;9;8;8;9;9;13;14;8;8;13;5;8;7;13;7;7;9;7;9;10;11;6;0;0;0;0;0;0;0;0;0;10;7;6
"47";"Smedby 2";"Man";"35-44";"Förvärvsarbetande (anställd)";"Högskola/universitet";"5-9 år";10;10;10;7;7;14;14;14;6;8;5;14;10;10;14;14;14;14;14;14;14;8;14;3;14;10;14;14;14;14;7;14;7;14;12;13;14;10;3;14;14;14;13;7;14;9;9;9;6;12;6;10;7;13;12;9;8;11;14;5;7;8;8
"48";"Smedby 3";"Man";"65+";"Egen företagare";"Annan eftergymnasial utbildning";"10 år eller mer";6;7;8;9;9;8;8;9;6;9;8;7;8;9;10;8;8;7;9;10;7;9;8;7;8;7;7;7;8;9;6;6;7;8;12;13;7;7;13;7;7;6;14;9;7;8;9;10;11;7;4;5;3;10;6;9;8;9;10;7;7;7;7
"49";"Runby";"Man";"15-24";"Student";"Högskola/universitet";"10 år eller mer";14;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;7;7;7;7;7;7;7;7;7;14;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;4;4;8
"50";"Brunnby-Vik";"Vill ej uppge";"45-54";"Egen företagare";"Högskola/universitet";"10 år eller mer";6;8;8;9;7;6;8;8;6;11;8;6;9;6;10;11;6;9;11;9;6;4;9;8;3;5;9;8;8;8;8;8;9;8;12;12;8;8;14;11;8;8;14;6;7;8;8;6;6;7;7;4;7;5;2;8;8;8;10;5;2;5;10
"51";"Vilunda/Korpkulla";"Man";"25-34";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";7;9;4;9;9;14;11;10;2;3;5;8;8;10;14;12;10;12;11;14;14;9;14;5;14;11;11;14;14;14;8;14;8;11;13;14;14;11;14;8;10;5;5;0;13;10;10;10;14;10;12;13;5;12;14;14;9;11;7;5;4;2;2
"52";"Brunnby-Vik";"Man";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";10;10;10;10;12;8;9;10;10;6;10;10;9;10;7;9;9;6;10;7;8;10;8;8;9;10;8;10;10;10;8;8;11;8;13;15;10;10;14;10;8;10;14;10;6;11;12;10;11;11;6;5;6;9;7;8;8;8;10;5;10;10;10
"53";"Dragonvägen";"Man";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";10;9;8;13;7;12;8;8;2;5;1;11;11;5;12;13;12;12;8;9;13;4;8;6;9;14;14;14;14;14;10;10;8;8;13;14;13;6;14;5;10;8;3;8;9;10;8;8;6;13;7;1;7;2;8;8;8;8;6;3;11;5;3
"54";"Sjukyrkoberget";"Man";"45-54";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";5;8;13;9;14;14;11;13;6;8;5;6;11;12;13;14;9;1;4;13;8;1;7;3;2;11;6;14;14;14;3;10;5;6;12;14;12;13;15;10;13;12;14;2;7;6;5;4;9;11;7;8;4;9;3;12;2;13;11;1;3;7;11
"55";"Dragonvägen";"Man";"25-34";"Egen företagare";"Högskola/universitet";"10 år eller mer";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;8;8
"56";"Stallgatan";"Man";"25-34";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";6;8;6;10;10;8;9;8;5;5;8;10;11;10;10;9;8;6;8;7;8;6;5;10;7;8;9;5;11;10;12;9;14;8;2;14;10;12;1;9;12;11;14;0;14;8;10;8;5;8;1;10;1;2;1;7;8;7;14;1;11;2;2
"57";"Odenslunda";"Man";"15-24";"Student";"Högskola/universitet";"5-9 år";0;3;11;7;7;12;8;7;2;5;7;7;7;7;7;5;14;8;7;14;7;0;2;0;0;6;6;3;14;10;5;9;12;7;12;13;14;7;15;7;9;14;14;3;8;6;3;5;10;7;0;6;0;14;1;14;14;14;14;3;2;2;7
"58";"Brunnby-Vik";"Man";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;8;8
"59";"Södra Bollstanäs";"Man";"55-64";"Förvärvsarbetande (anställd)";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";11;7;7;7;7;11;8;8;6;7;5;8;8;8;11;8;8;8;11;7;10;8;9;8;10;9;10;10;11;7;9;9;11;9;3;4;10;10;14;9;11;11;2;10;4;10;10;10;10;10;6;7;7;7;7;7;8;7;7;7;11;6;10
"60";"Ekebo";"Kvinna";"45-54";"Arbetssökande eller i arbetsmarknadspolitisk åtgärd";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";11;9;5;7;7;11;10;3;7;7;8;9;3;10;7;10;10;7;7;7;6;11;8;6;7;11;5;11;10;9;10;6;10;10;14;4;9;8;12;7;11;10;15;6;7;11;12;9;6;7;3;6;5;3;4;7;8;10;10;4;11;9;6
"61";"Vilunda/Korpkulla";"Kvinna";"15-24";"Student";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";14;8;5;13;11;14;13;7;6;3;7;2;6;7;14;7;14;9;7;10;14;6;9;8;10;11;8;12;14;13;8;8;13;12;6;7;13;9;14;5;13;13;5;9;14;14;8;13;9;14;8;6;7;5;9;12;11;10;13;14;4;11;6
"62";"Brunnby-Vik";"Man";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";6;6;9;9;6;9;8;5;8;9;8;8;6;8;11;8;5;5;8;9;8;6;8;7;7;5;9;8;9;10;8;8;8;7;12;12;9;8;13;7;10;10;13;7;7;7;7;7;7;7;2;2;2;4;2;4;4;4;3;0;5;7;8
"63";"Hasselbacken";"Man";"65+";"Pensionär";"Annan eftergymnasial utbildning";"10 år eller mer";11;7;3;11;11;11;11;3;3;3;3;3;3;11;11;5;11;11;6;8;10;5;6;10;10;6;9;10;11;11;11;11;11;11;3;4;11;11;15;11;11;11;15;11;3;12;12;12;12;12;9;11;11;12;10;12;12;12;12;12;4;4;3
"64";"Runby";"Man";"35-44";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";6;6;13;8;7;12;9;14;0;14;10;4;8;8;11;9;11;11;11;13;14;9;14;8;11;14;7;14;14;14;8;10;10;11;6;7;14;14;7;11;14;14;6;14;10;14;14;13;13;14;1;9;2;8;2;14;12;14;14;6;2;5;5
"65";"Prästgårdsmarken";"Man";"65+";"Övrigt";"Högskola/universitet";"10 år eller mer";14;7;3;5;4;8;7;3;14;3;7;7;7;7;7;3;5;10;5;10;12;4;14;5;7;10;0;7;14;14;0;8;8;6;6;7;14;14;8;4;7;7;13;14;0;14;14;14;14;14;2;2;2;7;11;13;10;14;1;14;4;4;5
"66";"Hasselgatan";"Man";"25-34";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";12;8;10;12;10;12;9;8;6;4;8;8;9;7;7;8;12;8;9;12;9;9;8;9;10;8;8;8;8;11;6;11;6;12;14;4;12;10;14;10;8;6;2;1;9;6;10;8;11;9;3;6;4;7;5;6;5;7;5;4;11;6;6
"67";"Brunnby-Vik";"Man";"45-54";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";14;11;4;9;7;10;10;8;8;0;9;9;9;9;10;8;13;10;12;9;14;10;14;8;14;12;6;10;14;14;14;14;14;14;6;5;14;14;3;5;11;12;4;6;9;14;12;8;13;10;12;3;6;8;14;14;14;14;10;2;4;4;5
"68";"Runby";"Kvinna";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";11;11;9;10;11;11;10;9;9;4;9;8;10;11;11;10;9;9;10;10;7;7;7;7;7;11;9;11;11;11;8;8;10;9;3;4;11;10;3;10;9;9;15;9;7;11;11;11;11;11;2;2;2;2;2;5;5;5;4;4;4;8;7
"69";"Norra Bollstanäs";"Man";"65+";"Pensionär";"Annan eftergymnasial utbildning";"10 år eller mer";11;11;3;11;7;11;11;7;11;7;9;11;5;11;11;11;11;11;11;7;11;5;11;6;11;11;11;11;11;11;8;11;11;11;3;4;11;11;14;11;9;11;3;8;3;8;11;8;8;11;0;0;0;0;0;0;0;0;0;0;4;4;4
