"Area";"Gender";"Age";"Occupation";"Education level";"Year";"Alt.1a";"Alt.1b";"Alt.1c";"Alt.1d";"Alt.1e";"Alt.2a";"Alt.2b";"Alt.2c";"Alt.2d";"Alt.2e";"Alt.3a";"Alt.3b";"Alt.3c";"Alt.3d";"Alt.3e";"Alt.4a";"Alt.4b";"Alt.4c";"Alt.4d";"Alt.4e";"Alt.5a";"Alt.5b";"Alt.5c";"Alt.5d";"Alt.5e";"Alt.6a";"Alt.6b";"Alt.6c";"Alt.6d";"Alt.6e";"Alt.7a";"Alt.7b";"Alt.7c";"Alt.7d";"Alt.7e";"Alt.8a";"Alt.8b";"Alt.8c";"Alt.8d";"Alt.8e";"Alt.9a";"Alt.9b";"Alt.9c";"Alt.9d";"Alt.9e";"Alt.10a";"Alt.10b";"Alt.10c";"Alt.10d";"Alt.10e";"Parks and green areas";"Diversity in housing supply";"Invest in public areas";"Communications";"Culture and leisure";"Education";"Care";"School";"Safety";"Ecological sustainability";"Disagreement 1";"Disagreement 2";"Disagreement 3"
"Folkparksområdet";"Man";"35-44";"Self-employed";"Other post-secondary education";"5-9 years";12;10;8;11;7;8;8;13;0;14;8;9;10;9;11;8;8;8;8;8;7;7;7;7;7;11;5;8;8;7;9;9;13;9;11;11;11;11;11;11;12;12;12;10;6;7;7;7;7;7;9;8;6;7;6;7;10;8;11;6;3;5;5
"Södra Bollstanäs";"Woman";"65+";"Senior citizen";"Elementary school or equivalent compulsory school";"5-9 years";5;6;13;8;5;8;5;5;6;13;7;7;7;7;7;8;6;8;8;10;8;8;8;5;7;9;9;9;9;9;9;9;9;8;9;10;10;8;8;9;10;10;8;6;6;8;9;6;8;8;4;5;2;4;2;2;3;4;4;2;0;5;6
"Frestaby";"Man";"65+";"Senior citizen";"College/University";"5-9 years";6;6;9;10;6;9;8;8;6;10;7;7;8;9;9;8;10;8;10;10;7;4;5;7;6;8;6;9;10;10;9;9;10;9;9;9;9;9;9;9;10;9;9;9;6;7;9;7;7;7;1;2;2;3;3;5;5;5;5;2;2;5;2
"Stallgatan";"Woman";"55-64";"Senior citizen";"College/University";"5-9 years";10;6;4;8;7;6;6;6;8;6;9;7;7;7;7;6;6;6;6;9;8;6;8;5;8;8;7;8;8;8;9;8;8;8;8;8;8;8;6;7;9;8;8;6;6;9;8;8;9;7;5;2;1;6;3;7;4;4;4;2;8;7;4
"Messingen/Optimus";"Man";"25-34";"Employee";"College/University";"0-4 years";9;9;1;12;4;5;9;3;0;10;6;5;9;5;11;5;13;4;6;14;10;6;3;8;5;11;5;8;14;14;8;8;8;6;4;5;14;10;6;0;8;8;9;8;8;9;6;6;8;8;7;2;3;2;2;11;2;10;3;1;3;3;0
"Prästgårdsmarken";"Woman";"65+";"Self-employed";"College/University";"5-9 years";14;9;9;9;11;13;10;11;9;9;11;12;10;13;14;6;12;10;12;7;12;11;12;11;12;12;12;12;12;12;10;13;13;13;13;14;14;14;14;14;7;7;7;7;7;7;7;7;7;7;4;4;3;4;3;4;4;4;4;3;6;7;6
"Runby Backar/Lövsta";"Man";"45-54";"Employee";"College/University";"5-9 years";10;6;5;8;9;9;9;8;6;3;8;9;6;7;10;8;9;6;9;9;9;10;8;6;7;8;8;9;14;14;7;8;8;9;7;8;9;10;10;10;10;11;9;6;7;8;8;8;9;10;3;2;3;4;3;7;7;10;9;6;10;7;4
"Frestaby";"Man";"45-54";"Employee";"College/University";"5-9 years";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;5;5
"Ekebo";"Man";"45-54";"Sickness or activity benefit";"High school, Nordic folk high school, or equivalent";"5-9 years";14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;13;12;11;10;9;8;7;6;5;5;0;5
"Frestaby";"Man";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";11;9;6;10;9;9;9;9;8;5;4;9;5;4;10;7;10;8;9;7;9;8;9;9;6;10;9;8;11;9;8;9;9;8;11;11;9;12;9;9;10;8;8;6;9;10;5;8;7;9;7;6;5;9;6;11;10;12;8;8;9;8;3
"Frestaby";"Man";"55-64";"Senior citizen";"College/University";"5-9 years";9;6;8;8;9;8;9;7;9;7;9;6;9;9;9;10;10;8;8;8;9;8;10;11;13;8;9;10;14;14;14;14;14;14;14;14;13;13;13;13;14;13;14;7;10;14;14;14;13;14;10;10;9;9;10;14;14;14;14;14;8;5;5
"Odenslunda";"Man";"65+";"Self-employed";"College/University";"5-9 years";6;7;8;9;10;11;10;9;3;7;5;8;9;9;11;11;9;9;9;9;8;8;8;7;7;9;10;11;14;13;9;9;11;11;10;8;11;12;10;14;9;13;11;7;7;8;8;8;8;8;1;3;4;5;2;14;10;14;9;6;5;4;3
"Odenslunda";"Man";"55-64";"Long-term sick leave (more than 3 months)";"High school, Nordic folk high school, or equivalent";"5-9 years";8;5;9;7;6;6;10;5;5;5;6;9;6;10;10;9;6;9;10;6;7;7;7;7;7;9;8;8;10;7;8;8;10;10;7;7;7;7;7;7;9;9;8;8;4;9;9;8;10;11;1;3;4;5;3;6;6;6;6;3;8;8;7
"Frestaby";"Man";"65+";"Senior citizen";"Elementary school or equivalent compulsory school";"5-9 years";7;9;11;7;7;5;5;10;5;10;7;7;7;7;7;6;6;8;10;10;6;11;8;8;7;8;5;11;11;12;6;11;11;11;11;11;11;11;9;11;6;6;10;7;7;11;11;8;11;11;5;11;5;11;5;11;11;11;11;8;3;3;8
"Odenslunda";"Man";"65+";"Senior citizen";"College/University";"5-9 years";13;9;0;9;14;10;10;10;8;1;8;9;8;9;8;10;12;6;11;7;12;6;8;8;9;9;10;11;11;11;9;9;9;10;11;9;10;11;10;7;9;10;6;6;7;13;12;12;12;9;2;3;2;4;5;6;5;5;6;7;8;7;6
"Södra Bollstanäs";"Prefer not to disclose";"65+";"Senior citizen";"College/University";"5-9 years";7;4;13;10;6;10;10;12;1;13;8;6;9;12;13;10;5;2;11;6;6;5;6;6;4;8;9;8;14;14;12;7;14;7;9;9;14;10;7;4;9;10;8;5;7;6;9;3;3;10;1;4;0;5;1;7;9;11;8;0;2;1;1
"Dragonvägen";"Woman";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";10;10;4;11;11;8;8;5;5;8;3;4;5;6;8;11;11;8;9;8;14;6;12;9;10;11;6;11;13;13;14;13;13;14;14;13;14;14;14;14;14;14;14;14;10;14;14;14;14;14;3;4;5;9;6;11;11;11;11;7;6;3;4
"Smedby 2";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";13;8;12;9;9;11;10;10;11;7;9;9;9;9;11;4;4;4;11;5;11;5;10;6;9;11;11;11;11;11;6;11;8;9;11;10;10;10;10;10;11;9;9;10;7;10;9;9;11;11;11;10;10;10;12;12;9;11;9;9;10;10;9
"Runby Backar/Lövsta";"Woman";"45-54";"Employee";"College/University";"5-9 years";14;14;2;13;8;10;8;8;1;0;6;6;8;8;12;4;14;8;8;8;11;10;10;10;9;9;8;8;10;10;9;10;13;14;14;14;14;14;8;8;14;9;10;8;8;14;14;14;14;14;14;7;8;9;12;7;13;12;12;14;10;7;1
"Sjukyrkoberget";"Woman";"65+";"Senior citizen";"Other post-secondary education";"5-9 years";8;8;8;9;10;11;8;9;5;9;3;10;6;7;10;5;9;9;9;10;13;13;12;12;13;11;5;11;11;11;12;10;12;11;8;11;11;10;8;10;11;10;8;9;10;10;10;11;10;7;10;7;12;9;9;7;12;11;11;9;8;5;8
"Stora Wäsby gård";"Woman";"45-54";"Employee";"College/University";"5-9 years";11;1;13;12;12;14;12;3;11;2;0;1;14;12;14;2;2;14;2;12;2;2;2;2;1;1;12;12;12;13;0;1;14;12;14;14;12;2;2;2;13;13;7;13;2;8;13;7;12;6;1;7;1;14;2;14;14;7;14;0;10;10;10
"Hasselgatan";"Man";"35-44";"Employee";"College/University";"5-9 years";1;8;14;9;0;14;13;8;0;12;2;7;0;1;14;10;9;8;7;14;10;9;11;8;0;9;8;6;14;11;5;4;8;3;6;6;14;11;0;5;12;8;10;0;11;0;1;8;2;6;1;6;2;4;3;11;7;10;9;0;0;0;5
"Vilunda/Korpkulla";"Man";"55-64";"Self-employed";"High school, Nordic folk high school, or equivalent";"5-9 years";9;7;5;7;7;9;8;6;6;5;8;8;8;8;10;6;6;5;7;7;5;5;4;6;9;7;7;6;10;9;6;9;6;9;11;10;10;8;8;8;9;8;9;4;5;9;8;8;8;8;2;6;2;2;3;9;9;9;2;2;10;10;5
"Carlslund/Brunnby Park";"Man";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";4;6;10;6;7;11;11;4;6;6;9;6;9;8;7;10;9;6;8;7;3;6;5;5;3;10;3;4;10;9;6;5;11;4;5;8;10;6;9;11;6;9;10;6;3;6;6;6;6;9;3;3;1;2;2;3;9;1;10;1;7;3;2
"Carlslund/Brunnby Park";"Woman";"55-64";"Sickness or activity benefit";"Elementary school or equivalent compulsory school";"5-9 years";10;8;8;8;10;9;8;5;7;7;5;9;6;6;8;8;9;8;9;8;8;11;8;11;9;9;8;11;11;11;8;11;11;9;11;11;11;11;11;11;11;11;11;8;7;11;11;11;11;11;1;1;1;7;2;5;7;7;7;7;3;7;5
"Södra Bollstanäs";"Man";"65+";"Senior citizen";"College/University";"5-9 years";12;11;7;10;9;12;13;11;7;7;12;9;8;13;14;12;13;13;13;13;14;14;13;13;14;13;12;13;14;14;14;14;14;14;14;14;13;13;12;13;13;11;10;8;9;13;12;13;13;14;12;13;12;13;14;14;14;14;13;13;9;5;5
"Södra Bollstanäs";"Man";"65+";"Senior citizen";"College/University";"5-9 years";5;5;9;8;4;10;8;8;0;12;4;8;6;10;3;10;8;7;7;7;10;2;11;2;5;9;9;5;12;7;1;9;7;10;4;3;13;11;7;7;8;10;5;3;3;7;4;10;6;11;4;2;1;12;3;13;10;13;5;8;2;3;2
"Sjukyrkoberget";"Woman";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"10 or more years";9;5;8;10;7;9;10;7;4;8;10;7;8;6;10;10;9;7;9;8;8;6;8;7;6;9;6;11;11;10;8;8;7;10;10;8;9;9;8;7;10;9;7;7;7;8;11;8;8;8;5;3;4;12;2;8;9;10;11;5;6;6;4
"Runby";"Man";"45-54";"Self-employed";"High school, Nordic folk high school, or equivalent";"5-9 years";8;6;9;8;7;7;9;10;0;14;6;5;6;9;11;8;9;6;10;9;14;9;14;7;7;10;6;14;14;14;8;14;11;14;7;7;14;9;10;8;14;14;9;2;7;8;9;10;6;7;2;3;4;6;7;12;8;13;11;1;0;1;4
"Frestaby";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";11;5;8;11;4;4;4;8;5;4;8;8;8;6;8;8;6;8;6;8;6;6;6;6;6;9;6;9;7;7;9;9;8;8;8;7;7;7;7;7;8;8;8;8;6;9;8;10;8;10;1;2;1;1;1;1;2;2;2;2;7;5;5
"Sjukyrkoberget";"Woman";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";14;14;14;14;14;14;9;10;13;0;11;0;10;10;14;14;13;6;9;14;8;6;11;14;7;14;8;13;14;14;10;14;14;8;14;12;14;12;6;10;14;13;10;14;5;11;13;8;10;7;14;8;10;11;5;12;14;14;14;1;10;10;7
"Frestaby";"Man";"55-64";"Self-employed";"High school, Nordic folk high school, or equivalent";"5-9 years";6;9;10;11;7;10;10;6;3;8;8;6;10;10;9;11;10;4;9;10;10;6;5;11;10;9;10;11;13;13;8;10;8;9;13;11;13;12;13;14;10;12;8;11;6;9;6;13;5;10;3;6;3;6;6;12;6;12;9;6;4;3;7
"Vilunda/Korpkulla";"Woman";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";9;11;4;9;8;8;11;8;8;6;8;8;9;9;7;10;7;7;7;7;8;7;7;7;7;7;7;8;8;9;10;7;7;7;7;8;9;9;9;7;11;11;7;7;7;7;7;7;10;10;3;3;3;4;5;9;9;9;10;3;6;4;4
"Hasselbacken";"Man";"65+";"Self-employed";"Elementary school or equivalent compulsory school";"5-9 years";7;9;11;11;9;11;11;6;4;11;9;9;9;9;9;6;6;6;6;11;14;5;12;12;14;14;14;14;14;14;14;9;14;11;14;14;14;14;14;14;14;14;11;8;0;8;11;13;13;13;1;1;1;1;2;14;14;14;7;7;0;2;0
"Frestaby";"Man";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;5;5
"Njursta";"Man";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";10;10;4;10;7;8;6;6;9;5;5;8;7;8;8;8;9;7;9;8;8;6;9;7;7;9;8;10;9;9;8;8;9;9;8;8;8;8;7;5;8;7;7;7;7;9;7;9;10;11;6;0;0;0;0;0;0;0;0;0;7;4;3
"Smedby 2";"Man";"35-44";"Employee";"College/University";"10 or more years";10;10;10;7;7;14;14;14;6;8;5;14;10;10;14;14;14;14;14;14;14;8;14;3;14;10;14;14;14;14;7;14;7;14;7;7;14;10;10;14;14;14;7;7;14;9;9;9;6;12;6;10;7;13;12;9;8;11;14;5;4;5;5
"Smedby 3";"Man";"65+";"Self-employed";"Other post-secondary education";"5-9 years";6;7;8;9;9;8;8;9;6;9;8;7;8;9;10;8;8;7;9;10;7;9;8;7;8;7;7;7;8;9;6;6;7;8;7;7;7;7;7;7;7;6;8;9;7;8;9;10;11;7;4;5;3;10;6;9;8;9;10;7;4;4;4
"Runby";"Man";"15-24";"Student";"College/University";"5-9 years";14;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;7;7;7;7;7;7;7;7;7;14;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;10;10;5
"Brunnby-Vik";"Prefer not to disclose";"45-54";"Self-employed";"College/University";"5-9 years";6;8;8;9;7;6;8;8;6;11;8;6;9;6;10;11;6;9;11;9;6;4;9;8;3;5;9;8;8;8;8;8;9;8;7;6;8;8;8;11;8;8;8;6;7;8;8;6;6;7;7;4;7;5;2;8;8;8;10;5;0;2;7
"Vilunda/Korpkulla";"Man";"25-34";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";7;9;4;9;9;14;11;10;2;3;5;8;8;10;14;12;10;12;11;14;14;9;14;5;14;11;11;14;14;14;8;14;8;11;8;8;14;11;8;8;10;5;13;0;13;10;10;10;14;10;12;13;5;12;14;14;9;11;7;5;10;0;0
"Brunnby-Vik";"Man";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";10;10;10;10;12;8;9;10;10;6;10;10;9;10;7;9;9;6;10;7;8;10;8;8;9;10;8;10;10;10;8;8;11;8;8;9;10;10;8;10;8;10;8;10;6;11;12;10;11;11;6;5;6;9;7;8;8;8;10;5;7;7;7
"Dragonvägen";"Man";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";10;9;8;13;7;12;8;8;2;5;1;11;11;5;12;13;12;12;8;9;13;4;8;6;9;14;14;14;14;14;10;10;8;8;8;8;13;6;8;5;10;8;11;8;9;10;8;8;6;13;7;1;7;2;8;8;8;8;6;3;8;2;1
"Sjukyrkoberget";"Man";"45-54";"Employee";"College/University";"5-9 years";5;8;13;9;14;14;11;13;6;8;5;6;11;12;13;14;9;1;4;13;8;1;7;3;2;11;6;14;14;14;3;10;5;6;7;8;12;13;9;10;13;12;8;2;7;6;5;4;9;11;7;8;4;9;3;12;2;13;11;1;1;4;8
"Dragonvägen";"Man";"25-34";"Self-employed";"College/University";"5-9 years";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;5;5
"Stallgatan";"Man";"25-34";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";6;8;6;10;10;8;9;8;5;5;8;10;11;10;10;9;8;6;8;7;8;6;5;10;7;8;9;5;11;10;12;9;14;8;10;8;10;12;0;9;12;11;8;0;14;8;10;8;5;8;1;10;1;2;1;7;8;7;14;1;8;0;0
"Odenslunda";"Man";"15-24";"Student";"College/University";"10 or more years";0;3;11;7;7;12;8;7;2;5;7;7;7;7;7;5;14;8;7;14;7;0;2;0;0;6;6;3;14;10;5;9;12;7;7;7;14;7;9;7;9;14;8;3;8;6;3;5;10;7;0;6;0;14;1;14;14;14;14;3;0;0;4
"Brunnby-Vik";"Man";"55-64";"Employee";"College/University";"5-9 years";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;5;5
"Södra Bollstanäs";"Man";"55-64";"Employee";"Elementary school or equivalent compulsory school";"5-9 years";11;7;7;7;7;11;8;8;6;7;5;8;8;8;11;8;8;8;11;7;10;8;9;8;10;9;10;10;11;7;9;9;11;9;11;11;10;10;8;9;11;11;10;10;4;10;10;10;10;10;6;7;7;7;7;7;8;7;7;7;8;3;7
"Ekebo";"Woman";"45-54";"Job-seeker";"High school, Nordic folk high school, or equivalent";"5-9 years";11;9;5;7;7;11;10;3;7;7;8;9;3;10;7;10;10;7;7;7;6;11;8;6;7;11;5;11;10;9;10;6;10;10;9;11;9;8;6;7;11;10;9;6;7;11;12;9;6;7;3;6;5;3;4;7;8;10;10;4;8;6;3
"Vilunda/Korpkulla";"Woman";"15-24";"Student";"High school, Nordic folk high school, or equivalent";"5-9 years";14;8;5;13;11;14;13;7;6;3;7;2;6;7;14;7;14;9;7;10;14;6;9;8;10;11;8;12;14;13;8;8;13;12;14;14;13;9;8;5;13;13;13;9;14;14;8;13;9;14;8;6;7;5;9;12;11;10;13;14;10;8;3
"Brunnby-Vik";"Man";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";6;6;9;9;6;9;8;5;8;9;8;8;6;8;11;8;5;5;8;9;8;6;8;7;7;5;9;8;9;10;8;8;8;7;7;6;9;8;7;7;10;10;7;7;7;7;7;7;7;7;2;2;2;4;2;4;4;4;3;0;2;4;5
"Hasselbacken";"Man";"65+";"Senior citizen";"Other post-secondary education";"5-9 years";11;7;3;11;11;11;11;3;3;3;3;3;3;11;11;5;11;11;6;8;10;5;6;10;10;6;9;10;11;11;11;11;11;11;11;11;11;11;9;11;11;11;9;11;3;12;12;12;12;12;9;11;11;12;10;12;12;12;12;12;10;10;1
"Runby";"Man";"35-44";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";6;6;13;8;7;12;9;14;0;14;10;4;8;8;11;9;11;11;11;13;14;9;14;8;11;14;7;14;14;14;8;10;10;11;14;14;14;14;14;11;14;14;14;14;10;14;14;13;13;14;1;9;2;8;2;14;12;14;14;6;0;2;2
"Prästgårdsmarken";"Man";"65+";"Other";"College/University";"5-9 years";14;7;3;5;4;8;7;3;14;3;7;7;7;7;7;3;5;10;5;10;12;4;14;5;7;10;0;7;14;14;0;8;8;6;14;14;14;14;2;4;7;7;7;14;0;14;14;14;14;14;2;2;2;7;11;13;10;14;1;14;10;10;2
"Hasselgatan";"Man";"25-34";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";12;8;10;12;10;12;9;8;6;4;8;8;9;7;7;8;12;8;9;12;9;9;8;9;10;8;8;8;8;11;6;11;6;12;9;11;12;10;8;10;8;6;10;1;9;6;10;8;11;9;3;6;4;7;5;6;5;7;5;4;8;3;3
"Brunnby-Vik";"Man";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";14;11;4;9;7;10;10;8;8;0;9;9;9;9;10;8;13;10;12;9;14;10;14;8;14;12;6;10;14;14;14;14;14;14;14;12;14;14;10;5;11;12;12;6;9;14;12;8;13;10;12;3;6;8;14;14;14;14;10;2;10;10;2
"Runby";"Woman";"55-64";"Employee";"College/University";"5-9 years";11;11;9;10;11;11;10;9;9;4;9;8;10;11;11;10;9;9;10;10;7;7;7;7;7;11;9;11;11;11;8;8;10;9;11;11;11;10;10;10;9;9;9;9;7;11;11;11;11;11;2;2;2;2;2;5;5;5;4;4;10;5;4
"Norra Bollstanäs";"Man";"65+";"Senior citizen";"Other post-secondary education";"5-9 years";11;11;3;11;7;11;11;7;11;7;9;11;5;11;11;11;11;11;11;7;11;5;11;6;11;11;11;11;11;11;8;11;11;11;11;11;11;11;8;11;9;11;11;8;3;8;11;8;8;11;0;0;0;0;0;0;0;0;0;0;10;10;10
"Runby Backar/Lövsta";"Man";"35-44";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";14;3;0;14;0;0;0;10;7;5;6;14;3;1;12;9;0;0;11;10;0;11;1;13;0;11;2;4;14;12;11;2;12;9;3;3;10;8;8;14;11;14;0;0;14;12;9;0;0;11;0;0;0;0;0;0;0;0;0;0;6;6;6
"Prästgårdsmarken";"Woman";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";10;9;9;11;9;10;10;10;9;8;10;11;10;10;10;10;11;10;10;9;11;11;10;10;10;12;10;11;11;11;10;10;10;11;10;10;11;11;10;11;11;11;11;9;10;10;10;10;10;10;2;1;1;1;3;3;3;3;3;3;7;5;4
"Sigma/Apoteksskogen";"Man";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";2;14;14;14;14;14;14;7;0;14;14;10;7;7;14;14;14;3;14;14;14;14;14;3;3;0;14;14;14;14;8;14;8;14;8;8;14;14;10;10;14;7;14;4;14;14;6;9;11;12;1;9;2;11;3;14;12;14;14;7;0;0;10
"Odenslunda";"Woman";"15-24";"Student";"College/University";"5-9 years";7;6;9;8;5;3;10;6;5;8;8;8;6;8;8;8;8;6;5;10;9;5;9;3;8;5;10;9;10;10;8;6;8;9;6;8;9;10;9;6;9;8;8;6;6;8;6;8;11;5;5;6;6;12;8;10;8;8;11;6;1;0;0
"Hasselgatan";"Woman";"55-64";"Employee";"College/University";"5-9 years";13;12;5;10;6;9;11;7;6;3;11;11;11;11;11;9;6;12;8;7;4;4;4;4;3;5;7;6;11;11;7;7;11;7;7;8;8;8;8;2;7;7;7;12;6;12;10;11;9;12;0;0;0;0;0;0;0;0;0;0;10;5;0
"Södra Bollstanäs";"Woman";"45-54";"Leave of absence";"Other post-secondary education";"5-9 years";7;4;11;11;11;10;4;9;3;11;4;5;4;11;11;9;11;5;9;11;10;8;11;10;10;10;5;11;11;9;9;11;9;11;11;11;11;11;11;7;11;11;10;6;6;9;9;9;11;11;8;11;8;9;9;12;12;12;13;9;3;3;3
