"Serial";"SID";"Time";"Draft";"IP.Address";"UID";"Username";"X1a..Bevara.existerande.större.grönområden";"X1b..Anlägga.parker.i.existerande.stadsdelar";"X1c..Bygga.bostäder.nära.grönområden";"X1d..Rusta.upp.befintliga.parker";"X1e..Skapa.bättre.tillgänglighet.till.större.grönområden";"X2a..Erbjuda.fler.bostadstyper";"X2b..Erbjuda.fler.lägenhetsstorlekar";"X2c..Erbjuda.småskaligt.markägande";"X2d..Bevara.de.idémässiga.grunderna.för.bebyggelsen.från.1970.talet";"X2e..Erbjuda.fler.bostäder.nära.vatten";"X3a..Blanda.trafikslagen";"X3b..Förlägga.parkering.längs.med.gator";"X3c..Vända.entréer.mot.gator";"X3d..Förlägga.publika.lokaler.i.transparenta.bottenvåningar";"X3e..Trygga.parkeringslösningar.under.bostäder";"X4a..Koppla.ihop.nya.gator.med.befintliga.för.att.stärka.kopplingen.till.intilliggande.stadsdelar.och.minska.barriärerna.som.de.stora.vägarna.utgör.";"X4b..Förbättra.kommunikationerna.nattetid.mellan.olika.delar.av.kommunen";"X4c..Förbättra.kommunikationerna.till.och.från.Uppsala";"X4d..Förbättra.de.nord.sydliga.och.öst.västliga.stråken.via.ett.finmaskigare.och.väl.integrerat.stadsnät.";"X4e..Förbättra.kommunikationerna.till.och.från.Stockholms.innerstad";"X5a..Utöka.utbudet.av.kultur..sport..och.fritidsaktiviteter";"X5b..Skapa.bättre.möjligheter.för.festivaler.och.konserter";"X5c..Skapa.fler.förutsättningar.för.utomhussporter";"X5d..Skapa.marknadsplatser.utomhus";"X5e..Erbjuda.kommunala.bidrag.för.kultur..och.fritidsprojekt";"X6a..Rusta.upp.äldre.skolor";"X6b..Bygg.nya.skolor";"X6c..Förbättra.skolgårdarnas.fysiska.miljöer";"X6d..Höj.kvaliteten.i.grundskolan";"X6e..Höj.kvaliteten.på.gymnasieutbildningarna";"X7a..Fler.kultur..och.fritidsaktiviteter.för.äldre";"X7b..Fler.kultur..och.fritidsaktiviteter.för.barn.och.ungdomar";"X7c..Förbättra.äldreomsorgen.i.kommunen";"X7d..Fler.ungdomsgårdar.och.fältassistenter";"X7e..Minska.barngrupperna.i.förskolan";"X8a..Mindre.barngrupper.i.förskolan";"X8b..Höj.kvaliteten.i.undervisningen";"X8c..Mer.kompetensutveckling.för.skolor.och.lärare";"X8d..Mer.modern.informationsteknologi..IT..i.undervisningen";"X8e..Involvera.vårdnadshavare.mer.i.skolan";"X9a..Öka.tryggheten.kring.stationsområdet";"X9b..Fler.poliser.i.centrala.Väsby";"X9c..Förbättra.belysningen.i.centrala.Väsby";"X9d..Begränsa.öppettider.för.alkoholutskänkning.i.centrala.Väsby";"X9e..Förläng.öppettider.för.affärsverksamhet.i.centrala.Väsby";"X10a..Minska.förbrukningen.av.energi";"X10b..Minska.transporter.och.buller";"X10c..Öka.klimatanpassning.och.kretsloppstänkande";"X10d..Prioritera.miljövänliga.transportsätt..gång..cykel..kollektivtrafik.";"X10e..Minska.miljögifter.och.farliga.kemikalier.i.naturen";"X1..Parker.och.grönområden";"X2..Mångfald.i.bostadsutbudet";"X3..Levandegöra.gemensamma.platser";"X4..Kommunikationer";"X5..Kultur.och.fritid";"X6..Utbildning";"X7..Omsorg";"X8..Skolan";"X9..Trygghet";"X10..Ekologisk.hållbarhet";"X12a..Bygga.bostäder.nära.vatten";"X12b..Bevara.natur.och.strandlinjer.intakta";"X13a..Förtäta.centrum.och.öka.servicen";"X13b..Bevara.grönområden.intakta";"X14a..Utveckla.centrala.Upplands.Väsby";"X14b..Satsa.på.mindre.tätorter.i.kommunen";"Var.bor.du.";"Vilken.är.din.högsta.utbildningsnivå.";"Vilken.är.din.huvudsakliga.sysselsättning.";"Hur.länge.har.du.bott.i.Upplands.Väsby.";"Hur.gammal.är.du.";"Vilket.kön.har.du."
11;98;"01/13/2015 - 13:55";0;0;0;NA;7;5;6;6;9;8;6;9;8;7;7;6;8;7;7;8;9;7;8;7;7;7;7;7;7;11;6;8;11;9;5;6;6;9;"7";"8";11;9;"5";11;10;12;"14";7;7;7;7;7;7;7;1;1;1;1;1;6;4;7;9;1;"5";NA;"6";NA;"6";NA;"Runby";"Gymnasium, folkhögskola eller motsvarande";"Egen företagare";"10 år eller mer";"45-54";"Man"
12;99;"01/13/2015 - 14:07";0;0;0;NA;12;10;8;11;7;8;8;13;0;14;8;9;10;9;11;8;8;8;8;8;7;7;7;7;7;11;5;8;8;7;9;9;13;9;"11";"11";11;11;"11";11;12;12;"12";10;6;7;7;7;7;7;9;8;6;7;6;7;10;8;11;6;"3";NA;"5";NA;"5";NA;"Folkparksområdet";"Annan eftergymnasial utbildning";"Egen företagare";"10 år eller mer";"35-44";"Man"
13;100;"01/13/2015 - 14:10";0;0;0;NA;5;6;13;8;5;8;5;5;6;13;7;7;7;7;7;8;6;8;8;10;8;8;8;5;7;9;9;9;9;9;9;9;9;8;"9";"10";10;8;"8";9;10;10;"8";6;6;8;9;6;8;8;4;5;2;4;2;2;3;4;4;2;"0";NA;"5";NA;"6";NA;"Södra Bollstanäs";"Grundskola eller motsvarande obligatorisk skola";"Pensionär";"10 år eller mer";"65+";"Kvinna"
14;101;"01/13/2015 - 14:18";0;0;0;NA;6;6;9;10;6;9;8;8;6;10;7;7;8;9;9;8;10;8;10;10;7;4;5;7;6;8;6;9;10;10;9;9;10;9;"9";"9";9;9;"9";9;10;9;"9";9;6;7;9;7;7;7;1;2;2;3;3;5;5;5;5;2;"2";NA;"5";NA;"2";NA;"Frestaby";"Högskola/universitet";"Pensionär";"10 år eller mer";"65+";"Man"
15;102;"01/13/2015 - 14:25";0;0;0;NA;10;6;4;8;7;6;6;6;8;6;9;7;7;7;7;6;6;6;6;9;8;6;8;5;8;8;7;8;8;8;9;8;8;8;"8";"8";8;8;"6";7;9;8;"8";6;6;9;8;8;9;7;5;2;1;6;3;7;4;4;4;2;"8";NA;"7";NA;"4";NA;"Stallgatan";"Högskola/universitet";"Pensionär";"10 år eller mer";"55-64";"Kvinna"
16;103;"01/13/2015 - 14:25";0;0;0;NA;9;9;1;12;4;5;9;3;0;10;6;5;9;5;11;5;13;4;6;14;10;6;3;8;5;11;5;8;14;14;8;8;8;6;"4";"5";14;10;"6";0;8;8;"9";8;8;9;6;6;8;8;7;2;3;2;2;11;2;10;3;1;"3";NA;"3";NA;"0";NA;"Messingen/Optimus";"Högskola/universitet";"Förvärvsarbetande (anställd)";"0-4 år";"25-34";"Man"
17;104;"01/13/2015 - 14:25";0;0;0;NA;14;9;9;9;11;13;10;11;9;9;11;12;10;13;14;6;12;10;12;7;12;11;12;11;12;12;12;12;12;12;10;13;13;13;"13";"14";14;14;"14";14;7;7;"7";7;7;7;7;7;7;7;4;4;3;4;3;4;4;4;4;3;"6";NA;"7";NA;"6";NA;"Prästgårdsmarken";"Högskola/universitet";"Egen företagare";"10 år eller mer";"65+";"Kvinna"
18;105;"01/13/2015 - 14:33";0;0;0;NA;10;6;5;8;9;9;9;8;6;3;8;9;6;7;10;8;9;6;9;9;9;10;8;6;7;8;8;9;14;14;7;8;8;9;"7";"8";9;10;"10";10;10;11;"9";6;7;8;8;8;9;10;3;2;3;4;3;7;7;10;9;6;"10";NA;"7";NA;"4";NA;"Runby Backar/Lövsta";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Man"
19;106;"01/13/2015 - 14:59";0;0;0;NA;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;"7";"7";7;7;"7";7;7;7;"7";7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;"5";NA;"5";NA;"5";NA;"Frestaby";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Man"
20;107;"01/13/2015 - 15:02";0;0;0;NA;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;"14";"14";14;14;"14";14;14;14;"14";14;14;14;14;14;14;14;14;13;12;11;10;9;8;7;6;5;"5";NA;"0";NA;"5";NA;"Ekebo";"Gymnasium, folkhögskola eller motsvarande";"Har sjuk- eller aktivitetsersättning";"10 år eller mer";"45-54";"Man"
21;108;"01/13/2015 - 15:07";0;0;0;NA;11;9;6;10;9;9;9;9;8;5;4;9;5;4;10;7;10;8;9;7;9;8;9;9;6;10;9;8;11;9;8;9;9;8;"11";"11";9;12;"9";9;10;8;"8";6;9;10;5;8;7;9;7;6;5;9;6;11;10;12;8;8;"9";NA;"8";NA;"3";NA;"Frestaby";"Gymnasium, folkhögskola eller motsvarande";"Pensionär";"10 år eller mer";"65+";"Man"
22;109;"01/13/2015 - 15:11";0;0;0;NA;9;6;8;8;9;8;9;7;9;7;9;6;9;9;9;10;10;8;8;8;9;8;10;11;13;8;9;10;14;14;14;14;14;14;"14";"14";13;13;"13";13;14;13;"14";7;10;14;14;14;13;14;10;10;9;9;10;14;14;14;14;14;"8";NA;"5";NA;"5";NA;"Frestaby";"Högskola/universitet";"Pensionär";"10 år eller mer";"55-64";"Man"
23;110;"01/13/2015 - 15:14";0;0;0;NA;6;7;8;9;10;11;10;9;3;7;5;8;9;9;11;11;9;9;9;9;8;8;8;7;7;9;10;11;14;13;9;9;11;11;"10";"8";11;12;"10";14;9;13;"11";7;7;8;8;8;8;8;1;3;4;5;2;14;10;14;9;6;"5";NA;"4";NA;"3";NA;"Odenslunda";"Högskola/universitet";"Egen företagare";"10 år eller mer";"65+";"Man"
24;111;"01/13/2015 - 15:15";0;0;0;NA;8;5;9;7;6;6;10;5;5;5;6;9;6;10;10;9;6;9;10;6;7;7;7;7;7;9;8;8;10;7;8;8;10;10;"7";"7";7;7;"7";7;9;9;"8";8;4;9;9;8;10;11;1;3;4;5;3;6;6;6;6;3;"8";NA;"8";NA;"7";NA;"Odenslunda";"Gymnasium, folkhögskola eller motsvarande";"Långtidssjukskriven (mer än 3 månader)";"10 år eller mer";"55-64";"Man"
25;112;"01/13/2015 - 15:17";0;0;0;NA;7;9;11;7;7;5;5;10;5;10;7;7;7;7;7;6;6;8;10;10;6;11;8;8;7;8;5;11;11;12;6;11;11;11;"11";"11";11;11;"9";11;6;6;"10";7;7;11;11;8;11;11;5;11;5;11;5;11;11;11;11;8;"3";NA;"3";NA;"8";NA;"Frestaby";"Grundskola eller motsvarande obligatorisk skola";"Pensionär";"10 år eller mer";"65+";"Man"
26;113;"01/13/2015 - 15:18";0;0;0;NA;13;9;0;9;14;10;10;10;8;1;8;9;8;9;8;10;12;6;11;7;12;6;8;8;9;9;10;11;11;11;9;9;9;10;"11";"9";10;11;"10";7;9;10;"6";6;7;13;12;12;12;9;2;3;2;4;5;6;5;5;6;7;"8";NA;"7";NA;"6";NA;"Odenslunda";"Högskola/universitet";"Pensionär";"10 år eller mer";"65+";"Man"
27;114;"01/13/2015 - 15:23";0;0;0;NA;7;4;13;10;6;10;10;12;1;13;8;6;9;12;13;10;5;2;11;6;6;5;6;6;4;8;9;8;14;14;12;7;14;7;"9";"9";14;10;"7";4;9;10;"8";5;7;6;9;3;3;10;1;4;0;5;1;7;9;11;8;0;"2";NA;"1";NA;"1";NA;"Södra Bollstanäs";"Högskola/universitet";"Pensionär";"10 år eller mer";"65+";"Vill ej uppge"
28;115;"01/13/2015 - 15:28";0;0;0;NA;10;10;4;11;11;8;8;5;5;8;3;4;5;6;8;11;11;8;9;8;14;6;12;9;10;11;6;11;13;13;14;13;13;14;"14";"13";14;14;"14";14;14;14;"14";14;10;14;14;14;14;14;3;4;5;9;6;11;11;11;11;7;"6";NA;"3";NA;"4";NA;"Dragonvägen";"Gymnasium, folkhögskola eller motsvarande";"Pensionär";"10 år eller mer";"65+";"Kvinna"
29;116;"01/13/2015 - 15:30";0;0;0;NA;13;8;12;9;9;11;10;10;11;7;9;9;9;9;11;4;4;4;11;5;11;5;10;6;9;11;11;11;11;11;6;11;8;9;"11";"10";10;10;"10";10;11;9;"9";10;7;10;9;9;11;11;11;10;10;10;12;12;9;11;9;9;"10";NA;"10";NA;"9";NA;"Smedby 2";"Högskola/universitet";"Pensionär";"10 år eller mer";"65+";"Kvinna"
30;117;"01/13/2015 - 15:33";0;0;0;NA;14;14;2;13;8;10;8;8;1;0;6;6;8;8;12;4;14;8;8;8;11;10;10;10;9;9;8;8;10;10;9;10;13;14;"14";"14";14;14;"8";8;14;9;"10";8;8;14;14;14;14;14;14;7;8;9;12;7;13;12;12;14;"10";NA;"7";NA;"1";NA;"Runby Backar/Lövsta";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Kvinna"
31;118;"01/13/2015 - 15:38";0;0;0;NA;8;8;8;9;10;11;8;9;5;9;3;10;6;7;10;5;9;9;9;10;13;13;12;12;13;11;5;11;11;11;12;10;12;11;"8";"11";11;10;"8";10;11;10;"8";9;10;10;10;11;10;7;10;7;12;9;9;7;12;11;11;9;"8";NA;"5";NA;"8";NA;"Sjukyrkoberget";"Annan eftergymnasial utbildning";"Pensionär";"10 år eller mer";"65+";"Kvinna"
32;119;"01/13/2015 - 15:43";0;0;0;NA;11;1;13;12;12;14;12;3;11;2;0;1;14;12;14;2;2;14;2;12;2;2;2;2;1;1;12;12;12;13;0;1;14;12;"14";"14";12;2;"2";2;13;13;"7";13;2;8;13;7;12;6;1;7;1;14;2;14;14;7;14;0;"10";NA;"10";NA;"10";NA;"Stora Wäsby gård";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Kvinna"
33;120;"01/13/2015 - 15:44";0;0;0;NA;1;8;14;9;0;14;13;8;0;12;2;7;0;1;14;10;9;8;7;14;10;9;11;8;0;9;8;6;14;11;5;4;8;3;"6";"6";14;11;"0";5;12;8;"10";0;11;0;1;8;2;6;1;6;2;4;3;11;7;10;9;0;"0";NA;"0";NA;"5";NA;"Hasselgatan";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"35-44";"Man"
34;121;"01/13/2015 - 15:45";0;0;0;NA;9;7;5;7;7;9;8;6;6;5;8;8;8;8;10;6;6;5;7;7;5;5;4;6;9;7;7;6;10;9;6;9;6;9;"11";"10";10;8;"8";8;9;8;"9";4;5;9;8;8;8;8;2;6;2;2;3;9;9;9;2;2;"10";NA;"10";NA;"5";NA;"Vilunda/Korpkulla";"Gymnasium, folkhögskola eller motsvarande";"Egen företagare";"10 år eller mer";"55-64";"Man"
35;122;"01/13/2015 - 15:45";0;0;0;NA;4;6;10;6;7;11;11;4;6;6;9;6;9;8;7;10;9;6;8;7;3;6;5;5;3;10;3;4;10;9;6;5;11;4;"5";"8";10;6;"9";11;6;9;"10";6;3;6;6;6;6;9;3;3;1;2;2;3;9;1;10;1;"7";NA;"3";NA;"2";NA;"Carlslund/Brunnby Park";"Gymnasium, folkhögskola eller motsvarande";"Pensionär";"10 år eller mer";"65+";"Man"
36;123;"01/13/2015 - 15:47";0;0;0;NA;10;8;8;8;10;9;8;5;7;7;5;9;6;6;8;8;9;8;9;8;8;11;8;11;9;9;8;11;11;11;8;11;11;9;"11";"11";11;11;"11";11;11;11;"11";8;7;11;11;11;11;11;1;1;1;7;2;5;7;7;7;7;"3";NA;"7";NA;"5";NA;"Carlslund/Brunnby Park";"Grundskola eller motsvarande obligatorisk skola";"Har sjuk- eller aktivitetsersättning";"10 år eller mer";"55-64";"Kvinna"
37;124;"01/13/2015 - 15:48";0;0;0;NA;12;11;7;10;9;12;13;11;7;7;12;9;8;13;14;12;13;13;13;13;14;14;13;13;14;13;12;13;14;14;14;14;14;14;"14";"14";13;13;"12";13;13;11;"10";8;9;13;12;13;13;14;12;13;12;13;14;14;14;14;13;13;"9";NA;"5";NA;"5";NA;"Södra Bollstanäs";"Högskola/universitet";"Pensionär";"10 år eller mer";"65+";"Man"
38;125;"01/13/2015 - 15:53";0;0;0;NA;5;5;9;8;4;10;8;8;0;12;4;8;6;10;3;10;8;7;7;7;10;2;11;2;5;9;9;5;12;7;1;9;7;10;"4";"3";13;11;"7";7;8;10;"5";3;3;7;4;10;6;11;4;2;1;12;3;13;10;13;5;8;"2";NA;"3";NA;"2";NA;"Södra Bollstanäs";"Högskola/universitet";"Pensionär";"10 år eller mer";"65+";"Man"
39;126;"01/13/2015 - 15:54";0;0;0;NA;9;5;8;10;7;9;10;7;4;8;10;7;8;6;10;10;9;7;9;8;8;6;8;7;6;9;6;11;11;10;8;8;7;10;"10";"8";9;9;"8";7;10;9;"7";7;7;8;11;8;8;8;5;3;4;12;2;8;9;10;11;5;"6";NA;"6";NA;"4";NA;"Sjukyrkoberget";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"5-9 år";"45-54";"Kvinna"
40;127;"01/13/2015 - 16:00";0;0;0;NA;8;6;9;8;7;7;9;10;0;14;6;5;6;9;11;8;9;6;10;9;14;9;14;7;7;10;6;14;14;14;8;14;11;14;"7";"7";14;9;"10";8;14;14;"9";2;7;8;9;10;6;7;2;3;4;6;7;12;8;13;11;1;"0";NA;"1";NA;"4";NA;"Runby";"Gymnasium, folkhögskola eller motsvarande";"Egen företagare";"10 år eller mer";"45-54";"Man"
41;128;"01/13/2015 - 16:05";0;0;0;NA;11;5;8;11;4;4;4;8;5;4;8;8;8;6;8;8;6;8;6;8;6;6;6;6;6;9;6;9;7;7;9;9;8;8;"8";"7";7;7;"7";7;8;8;"8";8;6;9;8;10;8;10;1;2;1;1;1;1;2;2;2;2;"7";NA;"5";NA;"5";NA;"Frestaby";"Högskola/universitet";"Pensionär";"10 år eller mer";"65+";"Kvinna"
42;129;"01/13/2015 - 16:10";0;0;0;NA;14;14;14;14;14;14;9;10;13;0;11;0;10;10;14;14;13;6;9;14;8;6;11;14;7;14;8;13;14;14;10;14;14;8;"14";"12";14;12;"6";10;14;13;"10";14;5;11;13;8;10;7;14;8;10;11;5;12;14;14;14;1;"10";NA;"10";NA;"7";NA;"Sjukyrkoberget";"Gymnasium, folkhögskola eller motsvarande";"Pensionär";"10 år eller mer";"65+";"Kvinna"
43;130;"01/13/2015 - 16:13";0;0;0;NA;6;9;10;11;7;10;10;6;3;8;8;6;10;10;9;11;10;4;9;10;10;6;5;11;10;9;10;11;13;13;8;10;8;9;"13";"11";13;12;"13";14;10;12;"8";11;6;9;6;13;5;10;3;6;3;6;6;12;6;12;9;6;"4";NA;"3";NA;"7";NA;"Frestaby";"Gymnasium, folkhögskola eller motsvarande";"Egen företagare";"10 år eller mer";"55-64";"Man"
44;131;"01/13/2015 - 16:14";0;0;0;NA;9;11;4;9;8;8;11;8;8;6;8;8;9;9;7;10;7;7;7;7;8;7;7;7;7;7;7;8;8;9;10;7;7;7;"7";"8";9;9;"9";7;11;11;"7";7;7;7;7;7;10;10;3;3;3;4;5;9;9;9;10;3;"6";NA;"4";NA;"4";NA;"Vilunda/Korpkulla";"Gymnasium, folkhögskola eller motsvarande";"Pensionär";"10 år eller mer";"65+";"Kvinna"
45;132;"01/13/2015 - 16:15";0;0;0;NA;7;9;11;11;9;11;11;6;4;11;9;9;9;9;9;6;6;6;6;11;14;5;12;12;14;14;14;14;14;14;14;9;14;11;"14";"14";14;14;"14";14;14;14;"11";8;0;8;11;13;13;13;1;1;1;1;2;14;14;14;7;7;"0";NA;"2";NA;"0";NA;"Hasselbacken";"Grundskola eller motsvarande obligatorisk skola";"Egen företagare";"10 år eller mer";"65+";"Man"
